board,point_total,total_num_words,7_or_longer,10_or_longer
"[['P', 'K', 'D', 'E'], ['I', 'L', 'C', 'U'], ['I', 'A', 'O', 'S'], ['N', 'T', 'N', 'G']]",182200,306,"['DECALOG', 'ANTILOCK', 'DECLINANT', 'SOLACED', 'ANTILOG', 'CONTAIN', 'TOUCANS', 'TALCOUS', 'ILIACUS', 'DECALOGS', 'ANTILOGS', 'CANTONS']",[]
"[['T', 'H', 'U', 'B'], ['O', 'A', 'E', 'S'], ['F', 'D', 'T', 'E'], ['S', 'R', 'N', 'N']]",112200,236,[],[]
"[['T', 'S', 'U', 'N'], ['N', 'R', 'O', 'S'], ['A', 'R', 'E', 'O'], ['A', 'D', 'Y', 'E']]",201000,300,"['AROUSER', 'ERRANTS', 'ROOSERS', 'UNORDERS', 'SNARRED', 'UNORDER', 'TROUSER', 'ROUSERS', 'RESORTS', 'AROUSED', 'SNORERS', 'SERRANS', 'NOOSERS', 'AROUSERS', 'DROSERA']",[]
"[['I', 'I', 'L', 'T'], ['R', 'X', 'N', 'S'], ['A', 'S', 'E', 'H'], ['V', 'A', 'E', 'O']]",52900,118,"['SAVARIN', 'SAVARINS']",[]
"[['D', 'S', 'I', 'T'], ['E', 'T', 'A', 'V'], ['C', 'R', 'R', 'O'], ['H', 'O', 'L', 'D']]",219300,332,"['RATITES', 'ROASTER', 'STARRED', 'ARROCES', 'CHRESARD', 'RECOLOR', 'DECOLOR', 'SERRATI', 'ROASTED', 'RETRAIT']",[]
"[['A', 'N', 'Y', 'S'], ['E', 'I', 'A', 'M'], ['D', 'A', 'F', 'T'], ['H', 'H', 'V', 'D']]",59900,155,[],[]
"[['L', 'X', 'A', 'A'], ['T', 'I', 'C', 'R'], ['F', 'R', 'P', 'S'], ['I', 'V', 'D', 'D']]",43900,91,['TRICARS'],[]
"[['I', 'W', 'T', 'R'], ['L', 'O', 'T', 'B'], ['H', 'H', 'S', 'O'], ['I', 'S', 'A', 'C']]",58400,143,[],[]
"[['N', 'O', 'U', 'F'], ['I', 'T', 'K', 'K'], ['E', 'N', 'T', 'G'], ['E', 'U', 'Y', 'C']]",29500,70,[],[]
"[['E', 'C', 'O', 'D'], ['P', 'W', 'E', 'M'], ['O', 'U', 'R', 'H'], ['I', 'I', 'W', 'A']]",48500,124,[],[]
"[['W', 'F', 'H', 'S'], ['N', 'A', 'R', 'S'], ['N', 'D', 'E', 'G'], ['T', 'I', 'I', 'H']]",168400,280,"['WANTIES', 'SHANDIES', 'SHANNIES', 'INDRAWN', 'GRANNIES', 'RANDIES', 'FANNIED', 'WANDERS', 'TINDERS', 'SHADIER', 'GRANNIE', 'SHANTIES', 'TIDIERS', 'DANNIES', 'DIGRESS', 'GRANNIED', 'HANDIER', 'FANNIES', 'HANDERS', 'SHADERS', 'HARDIES']",[]
"[['X', 'T', 'A', 'E'], ['E', 'R', 'P', 'O'], ['T', 'H', 'S', 'S'], ['A', 'C', 'G', 'O']]",99600,187,"['SPARTHE', 'SPARTHS', 'GHERAOS', 'EPATERS']",[]
"[['L', 'O', 'B', 'A'], ['R', 'O', 'E', 'A'], ['N', 'R', 'F', 'N'], ['Y', 'H', 'T', 'P']]",57900,151,[],[]
"[['O', 'U', 'A', 'M'], ['D', 'I', 'O', 'R'], ['I', 'T', 'H', 'A'], ['G', 'E', 'E', 'H']]",45800,127,"['AUDITEE', 'AUDITOR']",[]
"[['P', 'D', 'H', 'S'], ['N', 'T', 'E', 'A'], ['E', 'H', 'O', 'O'], ['T', 'A', 'N', 'S']]",87300,185,"['SNOOTED', 'SOOTHED', 'SNATHES', 'SOOTHES', 'DETONATE']",[]
"[['D', 'R', 'W', 'I'], ['F', 'I', 'C', 'W'], ['Y', 'R', 'E', 'O'], ['A', 'T', 'E', 'M']]",81700,179,"['COMETARY', 'MERCIFY', 'METRIFY', 'DIETARY']",[]
"[['O', 'G', 'B', 'E'], ['T', 'N', 'V', 'D'], ['S', 'G', 'S', 'T'], ['B', 'A', 'A', 'I']]",30100,80,[],[]
"[['D', 'C', 'G', 'F'], ['E', 'T', 'R', 'J'], ['S', 'S', 'E', 'R'], ['O', 'D', 'E', 'E']]",185600,216,"['DOSSERET', 'REESTED', 'STEERED', 'JEREEDS', 'DESEEDS', 'REREDOS', 'JERREED', 'TERESES', 'DECREES', 'CREESED', 'CRESTED', 'REREDOSES', 'DETERRED', 'DESERTED', 'REEDERS', 'DECREER', 'CRESSET', 'GREESES', 'DECREED', 'TRESSED', 'JERREEDS', 'TEREDOS', 'RESECTED', 'OSSETER', 'CREESES', 'REREDOSSE', 'DESERTS', 'RESECTS', 'DESSERT', 'SECRETS']",[]
"[['T', 'S', 'A', 'O'], ['Y', 'I', 'N', 'D'], ['U', 'B', 'E', 'I'], ['S', 'D', 'T', 'N']]",139800,245,"['INDITED', 'IDONEITY', 'ASININE', 'INTENSITY', 'BEDUINS', 'SUBEDIT', 'STIBNITE', 'SUBTEND', 'DENSITY', 'TENSITY', 'DENTINS']",[]
"[['T', 'H', 'D', 'F'], ['S', 'B', 'F', 'I'], ['L', 'E', 'T', 'U'], ['N', 'A', 'H', 'E']]",98700,206,"['BLATEST', 'BLAHEST', 'ETHANES']",[]
"[['P', 'S', 'O', 'S'], ['R', 'I', 'H', 'U'], ['X', 'E', 'F', 'T'], ['E', 'D', 'I', 'N']]",162900,252,"['EDIFIER', 'DITHERS', 'EDIFIERS', 'OUTFISH', 'PREEDIT', 'SOUTHED', 'SHIFTIER', 'SHOUTIER', 'PREFIXED', 'OUTFISHED', 'OUTHIRED', 'INFIXED', 'OUTFIRED', 'OUTFIRE', 'SOUTHER', 'OUTHIRE', 'TIDERIPS', 'SOUTHERS', 'TIDERIP', 'REDFISH', 'NITHERS', 'REFIXED']",[]
"[['D', 'H', 'I', 'F'], ['F', 'C', 'H', 'O'], ['E', 'S', 'S', 'O'], ['N', 'E', 'T', 'T']]",99500,180,"['SENECIOS', 'CHOOSES', 'SHOTTEN', 'SHOTTES', 'SENECIO']",[]
"[['I', 'U', 'S', 'E'], ['H', 'B', 'M', 'T'], ['A', 'N', 'W', 'I'], ['R', 'R', 'D', 'P']]",48300,112,"['BANDITS', 'HUSBAND', 'HUMITES']",[]
"[['E', 'A', 'O', 'T'], ['C', 'N', 'P', 'T'], ['S', 'A', 'R', 'H'], ['R', 'S', 'H', 'O']]",107700,198,"['TRAPANS', 'ANAPHORS', 'CARTONS', 'PARTONS', 'SHORANS', 'ANAPHOR']",[]
"[['A', 'E', 'F', 'C'], ['O', 'H', 'N', 'N'], ['T', 'E', 'S', 'H'], ['Z', 'G', 'D', 'T']]",29300,101,[],[]
"[['P', 'S', 'R', 'B'], ['O', 'L', 'T', 'E'], ['R', 'O', 'C', 'A'], ['W', 'T', 'N', 'N']]",182300,297,"['RECOLOR', 'STOLPORT', 'LOOTERS', 'COLTERS', 'CONTROLS', 'TOLTERS', 'CONTROL', 'REACTOR', 'LOCATERS', 'ROOSTER', 'RETOOLS', 'LOCATER', 'POOTERS', 'ROOTERS', 'CONNATE']",[]
"[['D', 'C', 'S', 'A'], ['M', 'E', 'V', 'N'], ['N', 'M', 'A', 'Y'], ['O', 'C', 'H', 'E']]",89900,196,['CANVASED'],[]
"[['O', 'I', 'F', 'H'], ['E', 'C', 'S', 'D'], ['H', 'R', 'T', 'R'], ['I', 'T', 'E', 'W']]",102700,148,"['HITTERS', 'CRITTERS', 'HEISTER', 'CHITTERS', 'THIRSTER', 'WETHERS', 'TETHERS', 'CRITTER', 'CHITTER', 'ETCHERS', 'RITTERS']",[]
"[['Y', 'S', 'S', 'E'], ['C', 'O', 'E', 'I'], ['C', 'H', 'N', 'R'], ['N', 'H', 'R', 'L']]",96600,173,"['COSINES', 'SONERIS', 'HENRIES', 'HERISSON']",[]
"[['M', 'O', 'G', 'D'], ['T', 'A', 'D', 'R'], ['C', 'A', 'K', 'M'], ['I', 'G', 'T', 'I']]",23900,90,[],[]
"[['L', 'A', 'F', 'I'], ['E', 'H', 'W', 'L'], ['V', 'B', 'H', 'Y'], ['R', 'W', 'I', 'E']]",9500,38,[],[]
"[['B', 'T', 'N', 'E'], ['S', 'E', 'C', 'O'], ['L', 'T', 'C', 'P'], ['R', 'A', 'A', 'H']]",156300,266,"['ACETALS', 'ACCENTS', 'CONTEST', 'ACHATES', 'LATENTS', 'LATENCE', 'PATENTS', 'TALENTS', 'STARLET', 'CARTELS']",[]
"[['G', 'W', 'I', 'V'], ['I', 'F', 'S', 'F'], ['N', 'L', 'I', 'A'], ['R', 'O', 'R', 'T']]",67900,154,['TAILFIN'],[]
"[['S', 'A', 'I', 'Y'], ['E', 'F', 'N', 'D'], ['B', 'S', 'T', 'U'], ['P', 'W', 'R', 'E']]",83600,156,"['SANTURS', 'INFESTER', 'FAINTERS', 'BESAINT', 'BESAINTS', 'NAIFEST', 'SNIFTER', 'FAINTER']",[]
"[['A', 'O', 'O', 'A'], ['E', 'V', 'T', 'H'], ['C', 'P', 'E', 'R'], ['R', 'B', 'M', 'N']]",49500,124,"['BEHOOVE', 'OVERHOT']",[]
"[['T', 'W', 'C', 'I'], ['W', 'O', 'O', 'I'], ['S', 'E', 'L', 'A'], ['H', 'L', 'N', 'H']]",108700,207,"['WOOSELL', 'TOENAIL', 'WOOLLEN', 'SWOLLEN', 'TOLANES', 'ENHALOS']",[]
"[['O', 'O', 'T', 'M'], ['E', 'I', 'A', 'A'], ['D', 'U', 'L', 'R'], ['I', 'T', 'H', 'E']]",87500,180,['MAUTHER'],[]
"[['F', 'F', 'O', 'R'], ['C', 'I', 'A', 'M'], ['T', 'K', 'H', 'E'], ['T', 'L', 'I', 'H']]",33500,108,['MAFFICK'],[]
"[['E', 'V', 'E', 'N'], ['T', 'F', 'H', 'A'], ['U', 'Z', 'T', 'N'], ['I', 'S', 'S', 'O']]",35700,94,[],[]
"[['F', 'F', 'C', 'O'], ['Y', 'O', 'N', 'Y'], ['L', 'A', 'T', 'X'], ['H', 'I', 'I', 'E']]",55500,128,"['ANXIETY', 'FOLIATE']",[]
"[['N', 'E', 'C', 'L'], ['I', 'R', 'O', 'S'], ['A', 'S', 'O', 'E'], ['T', 'I', 'B', 'H']]",180400,311,"['BORNEOL', 'STAINER', 'NECROSE', 'CORNIST', 'ENROBES', 'BORNEOLS', 'CERASIN', 'BITSIER', 'HORNIST', 'RECLOSE', 'STARNIE', 'COEHORN']",[]
"[['N', 'S', 'U', 'E'], ['R', 'T', 'O', 'F'], ['A', 'T', 'D', 'I'], ['D', 'P', 'L', 'A']]",74500,154,"['TARTUFI', 'TARTUFE', 'TARTUFOS', 'TARTUFO']",[]
"[['I', 'B', 'R', 'T'], ['D', 'W', 'N', 'N'], ['E', 'O', 'T', 'S'], ['G', 'D', 'O', 'E']]",74400,157,"['STOOGED', 'NOODGED', 'STODGED', 'SNOODED']",[]
"[['A', 'W', 'I', 'H'], ['H', 'T', 'S', 'N'], ['L', 'E', 'E', 'R'], ['I', 'A', 'G', 'W']]",209400,350,"['LIEGERS', 'WRETHES', 'TWINERS', 'WERGELT', 'GENISTA', 'ENSWATHE', 'WRESTLE', 'REGALES', 'WERGELTS', 'INSWATHE', 'AGENISE', 'REALEST']",[]
"[['G', 'O', 'R', 'A'], ['A', 'H', 'F', 'T'], ['R', 'N', 'O', 'T'], ['N', 'S', 'S', 'H']]",59400,145,['RATTONS'],[]
"[['E', 'F', 'F', 'M'], ['A', 'N', 'O', 'S'], ['K', 'W', 'A', 'P'], ['E', 'O', 'N', 'C']]",64700,187,[],[]
"[['N', 'I', 'H', 'S'], ['T', 'E', 'F', 'O'], ['N', 'R', 'P', 'E'], ['A', 'S', 'L', 'O']]",148100,263,"['HINTERS', 'OPERANT', 'INTERLOPE', 'INTERNS', 'SHINERS', 'SPOSHIER', 'PERSANT', 'ELOPERS', 'OLEFINE']",[]
"[['H', 'E', 'T', 'W'], ['A', 'H', 'Y', 'O'], ['I', 'R', 'S', 'E'], ['R', 'T', 'L', 'N']]",91500,202,"['STIRRAH', 'OSTIARY']",[]
"[['L', 'E', 'M', 'A'], ['H', 'W', 'E', 'C'], ['L', 'U', 'O', 'T'], ['T', 'O', 'N', 'S']]",85100,202,"['UNSTEEL', 'TOUTONS']",[]
"[['S', 'W', 'C', 'T'], ['N', 'E', 'U', 'U'], ['H', 'S', 'I', 'E'], ['O', 'O', 'D', 'G']]",62900,148,"['HOODIES', 'CUISHES']",[]
"[['U', 'A', 'U', 'F'], ['I', 'I', 'D', 'T'], ['S', 'E', 'T', 'H'], ['H', 'N', 'O', 'L']]",57100,141,"['AUDIENT', 'DITONES']",[]
"[['H', 'C', 'S', 'N'], ['E', 'K', 'O', 'L'], ['E', 'D', 'I', 'A'], ['T', 'T', 'N', 'U']]",161800,286,"['NOINTED', 'ANTILOCK', 'CHEDITE', 'UNDOCKS', 'UNDECKS', 'SLAINTE', 'SLANTED', 'SLITTED', 'SONLIKE', 'UNALIKE', 'ALIUNDE']",[]
"[['O', 'I', 'Y', 'D'], ['T', 'E', 'E', 'N'], ['A', 'R', 'A', 'I'], ['H', 'U', 'R', 'H']]",137700,229,"['TERRANE', 'TERRINE', 'TAURINE', 'HURRAED', 'TRAINEE', 'HARRIED', 'NARRATE', 'TEARIER', 'ERRHINE', 'YEAREND', 'TARRIED', 'TERRAIN', 'TRAINED', 'INAURATE', 'HURRIED', 'TAUREAN']",[]
"[['I', 'Y', 'U', 'I'], ['N', 'U', 'O', 'Y'], ['O', 'R', 'N', 'S'], ['L', 'E', 'R', 'P']]",54700,116,['RONYONS'],[]
"[['L', 'O', 'I', 'B'], ['A', 'R', 'T', 'H'], ['G', 'W', 'G', 'U'], ['C', 'E', 'E', 'S']]",56700,132,['THIRLAGE'],[]
"[['R', 'I', 'I', 'F'], ['T', 'E', 'R', 'C'], ['M', 'O', 'L', 'N'], ['N', 'E', 'F', 'T']]",103000,201,"['NEOTERIC', 'FOREMEN', 'FLORIER', 'TRIREME', 'FIREMEN']",[]
"[['I', 'D', 'E', 'R'], ['Z', 'O', 'R', 'A'], ['W', 'E', 'A', 'N'], ['T', 'D', 'M', 'T']]",135500,258,"['REDREAMT', 'ARROWED', 'REDREAM', 'NARROWED']",[]
"[['T', 'R', 'S', 'J'], ['E', 'S', 'U', 'N'], ['R', 'L', 'M', 'H'], ['N', 'O', 'E', 'A']]",189900,279,"['ULSTERS', 'OMELETS', 'LEMURES', 'UNHELMS', 'AMULETS', 'STRUMAE', 'LUSTERS', 'HURTERS', 'AEMULES', 'AMORETS', 'HAMLETS', 'HAMSTERS', 'JUSTERS', 'UNHELES', 'AMUSERS', 'HAMSTER', 'TRUSSER', 'HUMORLESS', 'MUSTERS', 'MORSURE']",[]
"[['E', 'P', 'N', 'E'], ['N', 'S', 'I', 'L'], ['I', 'C', 'H', 'A'], ['U', 'T', 'O', 'T']]",168400,273,"['TOTALISE', 'NITCHIE', 'TALIPES', 'ENCHAIN', 'PENICIL', 'ENCHAINS', 'PISCINE', 'PENSILE', 'COALISE', 'NICOTINS', 'NICOTINES', 'ISCHIAL', 'NICOTIN', 'LAICISE', 'CUISINE', 'NICOTINE']",[]
"[['A', 'R', 'T', 'M'], ['L', 'A', 'I', 'L'], ['S', 'P', 'R', 'T'], ['K', 'E', 'S', 'U']]",319400,447,"['SPITALS', 'SERIALS', 'ASPIRES', 'TRAIPSE', 'ESPIALS', 'LAIPSES', 'TRAPSES', 'LAPSERS', 'PLAASES', 'PAIREST', 'STIRPES', 'TRAIPSES', 'TASKERS', 'TRIPART', 'SATIRES', 'TRIPSES', 'SAIREST', 'SPIRALS', 'ESPRITS', 'SPAREST', 'STRIPES', 'RASPERS', 'LIPASES', 'PERITUS']",[]
"[['P', 'O', 'Y', 'N'], ['O', 'R', 'R', 'E'], ['Y', 'A', 'A', 'I'], ['E', 'D', 'F', 'I']]",68000,151,['ARRAYED'],[]
"[['C', 'K', 'G', 'D'], ['O', 'H', 'T', 'I'], ['R', 'E', 'A', 'I'], ['R', 'E', 'T', 'S']]",143300,221,"['RETASTE', 'CHASTER', 'OCHREAS', 'ROCHETS', 'OCHREAE', 'DIASTER', 'OCHREATE', 'CORREAS', 'THEREAT', 'TERRETS', 'DITHERER', 'COHERER', 'THREATS', 'CHEATER', 'STAITHE', 'THEATER', 'CHOREAS']",[]
"[['W', 'D', 'N', 'E'], ['R', 'P', 'U', 'E'], ['N', 'D', 'H', 'O'], ['H', 'O', 'U', 'P']]",15700,52,['DUDHEEN'],[]
"[['Y', 'R', 'G', 'I'], ['I', 'L', 'H', 'U'], ['A', 'N', 'E', 'W'], ['A', 'P', 'E', 'L']]",47200,126,[],[]
"[['S', 'O', 'R', 'H'], ['B', 'H', 'T', 'A'], ['N', 'C', 'U', 'V'], ['T', 'D', 'D', 'O']]",51100,117,['CUATROS'],[]
"[['H', 'N', 'L', 'L'], ['V', 'N', 'O', 'H'], ['C', 'S', 'P', 'A'], ['E', 'V', 'P', 'E']]",27400,80,[],[]
"[['D', 'C', 'O', 'I'], ['E', 'R', 'W', 'S'], ['N', 'S', 'T', 'O'], ['W', 'T', 'L', 'E']]",137200,223,"['CORSNED', 'CORSLETS', 'CORSLET', 'STOWRES', 'WRESTLE', 'TRESTLE']",[]
"[['H', 'I', 'E', 'E'], ['H', 'O', 'R', 'S'], ['T', 'U', 'B', 'S'], ['A', 'N', 'F', 'R']]",89100,180,"['ANBURIES', 'ROUTHIE', 'OUTHIRES', 'AUTHORS', 'NATURES', 'TOURIES', 'OUTHIRE', 'AUTHORESS', 'BOTHIES']",[]
"[['D', 'U', 'L', 'N'], ['O', 'W', 'A', 'H'], ['I', 'E', 'O', 'H'], ['N', 'D', 'U', 'E']]",41700,115,['LAUWINE'],[]
"[['I', 'M', 'U', 'S'], ['M', 'R', 'I', 'T'], ['O', 'S', 'T', 'W'], ['R', 'L', 'H', 'H']]",90300,158,"['RUTTISH', 'ROSTRUM', 'MISTRUST', 'SURIMIS', 'SISTRUM']",[]
"[['E', 'O', 'A', 'A'], ['H', 'O', 'S', 'R'], ['R', 'E', 'Y', 'I'], ['S', 'H', 'I', 'N']]",81700,173,['HOARSER'],[]
"[['S', 'P', 'S', 'D'], ['I', 'P', 'H', 'K'], ['N', 'R', 'N', 'A'], ['E', 'A', 'E', 'H']]",67400,124,"['SPIRAEA', 'ENRANKS', 'SPHAERE', 'PHREAKS', 'PIRANHA']",[]
"[['M', 'T', 'N', 'R'], ['B', 'T', 'E', 'I'], ['A', 'E', 'O', 'H'], ['Y', 'S', 'O', 'N']]",107500,229,"['BEENTOS', 'TERNION', 'ABETTER', 'NOINTER']",[]
"[['R', 'M', 'H', 'R'], ['C', 'A', 'O', 'T'], ['L', 'E', 'D', 'N'], ['Y', 'W', 'B', 'A']]",106100,248,"['ANOMALY', 'AMOEBAN', 'BECLAMOR', 'MONADAL', 'CELADON']",[]
"[['E', 'F', 'H', 'I'], ['Y', 'A', 'P', 'M'], ['D', 'E', 'U', 'N'], ['F', 'C', 'A', 'O']]",33200,105,[],[]
"[['A', 'O', 'T', 'G'], ['O', 'N', 'X', 'C'], ['R', 'T', 'E', 'E'], ['R', 'M', 'M', 'I']]",34100,80,"['NETROOT', 'TORMENT']",[]
"[['L', 'I', 'S', 'N'], ['T', 'R', 'P', 'A'], ['O', 'E', 'T', 'F'], ['E', 'M', 'C', 'A']]",145500,264,"['EMOTERS', 'TAPETIS', 'SPIREME', 'TRIPTANS', 'OMERTAS', 'CAFTANS', 'TREPANS', 'PROTECT', 'FANSITE', 'EPITOME', 'TRIPTAN']",[]
"[['T', 'T', 'C', 'U'], ['O', 'D', 'S', 'E'], ['V', 'E', 'I', 'U'], ['H', 'D', 'Y', 'R']]",51200,116,"['TOEIEST', 'CESTODE', 'CUSTODE']",[]
"[['F', 'L', 'C', 'H'], ['D', 'A', 'G', 'G'], ['H', 'O', 'S', 'L'], ['D', 'E', 'E', 'T']]",82200,188,"['DAGGLES', 'HAGGLES', 'HAGLETS', 'CLADODE', 'CLADODES']",[]
"[['E', 'U', 'O', 'A'], ['I', 'D', 'R', 'H'], ['T', 'S', 'D', 'W'], ['S', 'R', 'T', 'O']]",56600,128,['RUDISTS'],[]
"[['O', 'A', 'N', 'T'], ['I', 'H', 'S', 'D'], ['T', 'F', 'K', 'C'], ['D', 'O', 'N', 'B']]",24000,73,[],[]
"[['H', 'F', 'T', 'Y'], ['L', 'E', 'O', 'H'], ['P', 'T', 'E', 'W'], ['C', 'P', 'I', 'I']]",41300,117,[],[]
"[['E', 'I', 'N', 'H'], ['T', 'V', 'O', 'R'], ['H', 'U', 'M', 'L'], ['A', 'S', 'E', 'A']]",110000,237,['VEINOUS'],[]
"[['H', 'L', 'I', 'P'], ['K', 'E', 'E', 'N'], ['U', 'T', 'A', 'U'], ['A', 'Y', 'O', 'H']]",55000,162,"['LINEATE', 'PILEATE']",[]
"[['S', 'O', 'R', 'T'], ['L', 'A', 'W', 'U'], ['U', 'S', 'E', 'F'], ['B', 'D', 'E', 'G']]",114100,234,"['OARWEEDS', 'OARWEED']",[]
"[['H', 'I', 'N', 'A'], ['S', 'T', 'D', 'O'], ['P', 'E', 'A', 'P'], ['S', 'G', 'W', 'E']]",202500,349,"['SESTINA', 'GESTAPO', 'PONDAGES', 'ADONISE', 'PODESTA', 'WEAPONISES', 'PEDANTS', 'ANODISE', 'STEWPOND', 'WEAPONISED', 'ADONISES', 'PODITES', 'HIDAGES', 'WEAPONISE', 'PONTAGES', 'PONTAGE', 'ANODISES', 'NIDATES', 'PONDAGE']","['WEAPONISES', 'WEAPONISED']"
"[['N', 'F', 'L', 'E'], ['A', 'W', 'E', 'M'], ['O', 'D', 'E', 'H'], ['H', 'Y', 'S', 'T']]",149200,303,"['HELMETS', 'LEWDEST']",[]
"[['B', 'E', 'C', 'R'], ['L', 'G', 'L', 'D'], ['T', 'A', 'A', 'O'], ['I', 'G', 'D', 'C']]",40900,113,[],[]
"[['A', 'N', 'O', 'P'], ['N', 'C', 'D', 'R'], ['E', 'E', 'A', 'D'], ['G', 'R', 'L', 'S']]",275300,396,"['RONNELS', 'RECORDS', 'RECANED', 'DRACENA', 'CANDELAS', 'ORDEALS', 'ORDNANCE', 'ANELACE', 'RECONNED', 'SADDLER', 'GENERAL', 'GENERALS', 'LARGENED', 'CALDRON', 'PONDERAL', 'CANDELA', 'PROCEED', 'ALENCON', 'CODDLER', 'LECANORA', 'RONDELS', 'CANNELS', 'ENCODER', 'CEREALS', 'ANNEALS', 'ACNODAL', 'LECANORAS', 'CELADON']",[]
"[['D', 'H', 'D', 'E'], ['L', 'A', 'N', 'E'], ['R', 'C', 'A', 'T'], ['M', 'T', 'I', 'J']]",104300,190,"['LANATED', 'LACTATE', 'ANALCITE', 'TRANTED', 'TEACART', 'ANTICAR', 'ANTITRADE', 'ANTICAL', 'LACTATED']",[]
"[['U', 'B', 'E', 'D'], ['J', 'N', 'S', 'F'], ['T', 'A', 'O', 'T'], ['I', 'R', 'E', 'S']]",279500,424,"['DEFOREST', 'ASTONED', 'SEASONED', 'TERTIANS', 'STERANE', 'TREASON', 'STEANED', 'ENTIRES', 'BEDSORES', 'STEANES', 'BEDSORE', 'DEFORESTS', 'SATIRES', 'TERTIAN', 'SAIREST', 'FORESTS', 'SENORES', 'TERTIAS', 'DENOTES', 'SENORITA', 'STERANES', 'REASONED']",[]
"[['F', 'B', 'A', 'E'], ['O', 'S', 'E', 'R'], ['O', 'S', 'H', 'N'], ['I', 'D', 'R', 'A']]",117600,227,"['ISOBARES', 'HARNESS', 'ISOBARE', 'NARDOOS', 'ISOBASE']",[]
"[['T', 'D', 'U', 'L'], ['L', 'R', 'M', 'E'], ['R', 'N', 'Y', 'U'], ['I', 'N', 'E', 'D']]",26000,74,['MURRINE'],[]
"[['A', 'H', 'W', 'S'], ['N', 'L', 'R', 'T'], ['E', 'O', 'E', 'O'], ['V', 'I', 'R', 'H']]",97900,171,"['LEVIERS', 'VIOLETS', 'VIOLERS', 'ALERION', 'RHETORS', 'WHALERS']",[]
"[['A', 'N', 'O', 'U'], ['T', 'N', 'O', 'I'], ['E', 'Y', 'T', 'B'], ['E', 'D', 'A', 'D']]",88500,178,"['BATOONED', 'BATONED', 'TANNOYED', 'BAYONET', 'ANNOYED']",[]
"[['D', 'I', 'T', 'R'], ['R', 'E', 'P', 'M'], ['S', 'O', 'X', 'E'], ['M', 'G', 'L', 'O']]",161800,275,"['EXPOSED', 'LEPORID', 'DIPTEROS', 'EMPTIER', 'EMPTIED', 'EXPOSER', 'GLORIED', 'PELORIES', 'SOPITED', 'EMPTIES', 'EXPIRED', 'PIEROGS', 'EMPIRES', 'EMPTIERS', 'GLORIES', 'ELOPERS', 'EXPIRES']",[]
"[['U', 'S', 'V', 'E'], ['L', 'A', 'E', 'V'], ['H', 'H', 'L', 'B'], ['T', 'I', 'S', 'T']]",124600,220,"['THISTLE', 'THISTLES', 'BESLAVE']",[]
"[['N', 'D', 'H', 'L'], ['E', 'H', 'S', 'W'], ['W', 'E', 'A', 'M'], ['D', 'I', 'I', 'S']]",88500,186,"['DEASHED', 'MAWSEED', 'SMASHED']",[]
"[['I', 'I', 'S', 'K'], ['O', 'E', 'N', 'S'], ['K', 'T', 'G', 'P'], ['A', 'T', 'D', 'P']]",49800,111,['INTAKES'],[]
